prices,market_caps,total_volumes,label
"[0.43523804 0.41787499 0.40032703 0.37640957 0.35794373 0.36089036
 0.38013465 0.40323935 0.37361064 0.36936095 0.28297629 0.32084709
 0.30684077 0.33963147 0.30506172 0.29692979 0.30560218 0.33590358
 0.35201132 0.51960794 0.52078164 0.52955518 0.57054409 0.56682401]","[0.42552499 0.40532345 0.39128048 0.35793933 0.35186452 0.36249096
 0.37149045 0.39230733 0.36242257 0.36783545 0.27618652 0.31508014
 0.30263781 0.32535387 0.31653823 0.28991916 0.29999365 0.32817727
 0.34398638 0.50920712 0.50963012 0.52365536 0.55847952 0.55483298]","[0.28542048 0.23053975 0.20973367 0.20259934 0.18910212 0.189354
 0.15339194 0.17127358 0.15301087 0.14504425 0.14099419 0.15035262
 0.14365333 0.16209829 0.15578148 0.15944659 0.17292898 0.17197577
 0.15904859 0.21034633 0.23825016 0.24014207 0.26331175 0.27248782]",1
"[0.41787499 0.40032703 0.37640957 0.35794373 0.36089036 0.38013465
 0.40323935 0.37361064 0.36936095 0.28297629 0.32084709 0.30684077
 0.33963147 0.30506172 0.29692979 0.30560218 0.33590358 0.35201132
 0.51960794 0.52078164 0.52955518 0.57054409 0.56682401 0.61263532]","[0.40532345 0.39128048 0.35793933 0.35186452 0.36249096 0.37149045
 0.39230733 0.36242257 0.36783545 0.27618652 0.31508014 0.30263781
 0.32535387 0.31653823 0.28991916 0.29999365 0.32817727 0.34398638
 0.50920712 0.50963012 0.52365536 0.55847952 0.55483298 0.58164858]","[0.23053975 0.20973367 0.20259934 0.18910212 0.189354   0.15339194
 0.17127358 0.15301087 0.14504425 0.14099419 0.15035262 0.14365333
 0.16209829 0.15578148 0.15944659 0.17292898 0.17197577 0.15904859
 0.21034633 0.23825016 0.24014207 0.26331175 0.27248782 0.2916336 ]",-1
"[0.40032703 0.37640957 0.35794373 0.36089036 0.38013465 0.40323935
 0.37361064 0.36936095 0.28297629 0.32084709 0.30684077 0.33963147
 0.30506172 0.29692979 0.30560218 0.33590358 0.35201132 0.51960794
 0.52078164 0.52955518 0.57054409 0.56682401 0.61263532 0.60640098]","[0.39128048 0.35793933 0.35186452 0.36249096 0.37149045 0.39230733
 0.36242257 0.36783545 0.27618652 0.31508014 0.30263781 0.32535387
 0.31653823 0.28991916 0.29999365 0.32817727 0.34398638 0.50920712
 0.50963012 0.52365536 0.55847952 0.55483298 0.58164858 0.59145612]","[0.20973367 0.20259934 0.18910212 0.189354   0.15339194 0.17127358
 0.15301087 0.14504425 0.14099419 0.15035262 0.14365333 0.16209829
 0.15578148 0.15944659 0.17292898 0.17197577 0.15904859 0.21034633
 0.23825016 0.24014207 0.26331175 0.27248782 0.2916336  0.30011088]",1
"[0.37640957 0.35794373 0.36089036 0.38013465 0.40323935 0.37361064
 0.36936095 0.28297629 0.32084709 0.30684077 0.33963147 0.30506172
 0.29692979 0.30560218 0.33590358 0.35201132 0.51960794 0.52078164
 0.52955518 0.57054409 0.56682401 0.61263532 0.60640098 0.61312165]","[0.35793933 0.35186452 0.36249096 0.37149045 0.39230733 0.36242257
 0.36783545 0.27618652 0.31508014 0.30263781 0.32535387 0.31653823
 0.28991916 0.29999365 0.32817727 0.34398638 0.50920712 0.50963012
 0.52365536 0.55847952 0.55483298 0.58164858 0.59145612 0.59844883]","[0.20259934 0.18910212 0.189354   0.15339194 0.17127358 0.15301087
 0.14504425 0.14099419 0.15035262 0.14365333 0.16209829 0.15578148
 0.15944659 0.17292898 0.17197577 0.15904859 0.21034633 0.23825016
 0.24014207 0.26331175 0.27248782 0.2916336  0.30011088 0.30494878]",-1
"[0.35794373 0.36089036 0.38013465 0.40323935 0.37361064 0.36936095
 0.28297629 0.32084709 0.30684077 0.33963147 0.30506172 0.29692979
 0.30560218 0.33590358 0.35201132 0.51960794 0.52078164 0.52955518
 0.57054409 0.56682401 0.61263532 0.60640098 0.61312165 0.6109699 ]","[0.35186452 0.36249096 0.37149045 0.39230733 0.36242257 0.36783545
 0.27618652 0.31508014 0.30263781 0.32535387 0.31653823 0.28991916
 0.29999365 0.32817727 0.34398638 0.50920712 0.50963012 0.52365536
 0.55847952 0.55483298 0.58164858 0.59145612 0.59844883 0.60247639]","[0.18910212 0.189354   0.15339194 0.17127358 0.15301087 0.14504425
 0.14099419 0.15035262 0.14365333 0.16209829 0.15578148 0.15944659
 0.17292898 0.17197577 0.15904859 0.21034633 0.23825016 0.24014207
 0.26331175 0.27248782 0.2916336  0.30011088 0.30494878 0.30685735]",-1
"[0.36089036 0.38013465 0.40323935 0.37361064 0.36936095 0.28297629
 0.32084709 0.30684077 0.33963147 0.30506172 0.29692979 0.30560218
 0.33590358 0.35201132 0.51960794 0.52078164 0.52955518 0.57054409
 0.56682401 0.61263532 0.60640098 0.61312165 0.6109699  0.58316138]","[0.36249096 0.37149045 0.39230733 0.36242257 0.36783545 0.27618652
 0.31508014 0.30263781 0.32535387 0.31653823 0.28991916 0.29999365
 0.32817727 0.34398638 0.50920712 0.50963012 0.52365536 0.55847952
 0.55483298 0.58164858 0.59145612 0.59844883 0.60247639 0.57667035]","[0.189354   0.15339194 0.17127358 0.15301087 0.14504425 0.14099419
 0.15035262 0.14365333 0.16209829 0.15578148 0.15944659 0.17292898
 0.17197577 0.15904859 0.21034633 0.23825016 0.24014207 0.26331175
 0.27248782 0.2916336  0.30011088 0.30494878 0.30685735 0.28037163]",1
"[0.38013465 0.40323935 0.37361064 0.36936095 0.28297629 0.32084709
 0.30684077 0.33963147 0.30506172 0.29692979 0.30560218 0.33590358
 0.35201132 0.51960794 0.52078164 0.52955518 0.57054409 0.56682401
 0.61263532 0.60640098 0.61312165 0.6109699  0.58316138 0.59377091]","[0.37149045 0.39230733 0.36242257 0.36783545 0.27618652 0.31508014
 0.30263781 0.32535387 0.31653823 0.28991916 0.29999365 0.32817727
 0.34398638 0.50920712 0.50963012 0.52365536 0.55847952 0.55483298
 0.58164858 0.59145612 0.59844883 0.60247639 0.57667035 0.57969589]","[0.15339194 0.17127358 0.15301087 0.14504425 0.14099419 0.15035262
 0.14365333 0.16209829 0.15578148 0.15944659 0.17292898 0.17197577
 0.15904859 0.21034633 0.23825016 0.24014207 0.26331175 0.27248782
 0.2916336  0.30011088 0.30494878 0.30685735 0.28037163 0.30430365]",1
"[0.40323935 0.37361064 0.36936095 0.28297629 0.32084709 0.30684077
 0.33963147 0.30506172 0.29692979 0.30560218 0.33590358 0.35201132
 0.51960794 0.52078164 0.52955518 0.57054409 0.56682401 0.61263532
 0.60640098 0.61312165 0.6109699  0.58316138 0.59377091 0.61212905]","[0.39230733 0.36242257 0.36783545 0.27618652 0.31508014 0.30263781
 0.32535387 0.31653823 0.28991916 0.29999365 0.32817727 0.34398638
 0.50920712 0.50963012 0.52365536 0.55847952 0.55483298 0.58164858
 0.59145612 0.59844883 0.60247639 0.57667035 0.57969589 0.59339592]","[0.17127358 0.15301087 0.14504425 0.14099419 0.15035262 0.14365333
 0.16209829 0.15578148 0.15944659 0.17292898 0.17197577 0.15904859
 0.21034633 0.23825016 0.24014207 0.26331175 0.27248782 0.2916336
 0.30011088 0.30494878 0.30685735 0.28037163 0.30430365 0.30837063]",-1
"[0.37361064 0.36936095 0.28297629 0.32084709 0.30684077 0.33963147
 0.30506172 0.29692979 0.30560218 0.33590358 0.35201132 0.51960794
 0.52078164 0.52955518 0.57054409 0.56682401 0.61263532 0.60640098
 0.61312165 0.6109699  0.58316138 0.59377091 0.61212905 0.60629401]","[0.36242257 0.36783545 0.27618652 0.31508014 0.30263781 0.32535387
 0.31653823 0.28991916 0.29999365 0.32817727 0.34398638 0.50920712
 0.50963012 0.52365536 0.55847952 0.55483298 0.58164858 0.59145612
 0.59844883 0.60247639 0.57667035 0.57969589 0.59339592 0.59673677]","[0.15301087 0.14504425 0.14099419 0.15035262 0.14365333 0.16209829
 0.15578148 0.15944659 0.17292898 0.17197577 0.15904859 0.21034633
 0.23825016 0.24014207 0.26331175 0.27248782 0.2916336  0.30011088
 0.30494878 0.30685735 0.28037163 0.30430365 0.30837063 0.29983033]",-1
"[0.36936095 0.28297629 0.32084709 0.30684077 0.33963147 0.30506172
 0.29692979 0.30560218 0.33590358 0.35201132 0.51960794 0.52078164
 0.52955518 0.57054409 0.56682401 0.61263532 0.60640098 0.61312165
 0.6109699  0.58316138 0.59377091 0.61212905 0.60629401 0.55107819]","[0.36783545 0.27618652 0.31508014 0.30263781 0.32535387 0.31653823
 0.28991916 0.29999365 0.32817727 0.34398638 0.50920712 0.50963012
 0.52365536 0.55847952 0.55483298 0.58164858 0.59145612 0.59844883
 0.60247639 0.57667035 0.57969589 0.59339592 0.59673677 0.5316287 ]","[0.14504425 0.14099419 0.15035262 0.14365333 0.16209829 0.15578148
 0.15944659 0.17292898 0.17197577 0.15904859 0.21034633 0.23825016
 0.24014207 0.26331175 0.27248782 0.2916336  0.30011088 0.30494878
 0.30685735 0.28037163 0.30430365 0.30837063 0.29983033 0.29451296]",-1
"[0.28297629 0.32084709 0.30684077 0.33963147 0.30506172 0.29692979
 0.30560218 0.33590358 0.35201132 0.51960794 0.52078164 0.52955518
 0.57054409 0.56682401 0.61263532 0.60640098 0.61312165 0.6109699
 0.58316138 0.59377091 0.61212905 0.60629401 0.55107819 0.53781856]","[0.27618652 0.31508014 0.30263781 0.32535387 0.31653823 0.28991916
 0.29999365 0.32817727 0.34398638 0.50920712 0.50963012 0.52365536
 0.55847952 0.55483298 0.58164858 0.59145612 0.59844883 0.60247639
 0.57667035 0.57969589 0.59339592 0.59673677 0.5316287  0.53257352]","[0.14099419 0.15035262 0.14365333 0.16209829 0.15578148 0.15944659
 0.17292898 0.17197577 0.15904859 0.21034633 0.23825016 0.24014207
 0.26331175 0.27248782 0.2916336  0.30011088 0.30494878 0.30685735
 0.28037163 0.30430365 0.30837063 0.29983033 0.29451296 0.29251107]",1
"[0.32084709 0.30684077 0.33963147 0.30506172 0.29692979 0.30560218
 0.33590358 0.35201132 0.51960794 0.52078164 0.52955518 0.57054409
 0.56682401 0.61263532 0.60640098 0.61312165 0.6109699  0.58316138
 0.59377091 0.61212905 0.60629401 0.55107819 0.53781856 0.56562901]","[0.31508014 0.30263781 0.32535387 0.31653823 0.28991916 0.29999365
 0.32817727 0.34398638 0.50920712 0.50963012 0.52365536 0.55847952
 0.55483298 0.58164858 0.59145612 0.59844883 0.60247639 0.57667035
 0.57969589 0.59339592 0.59673677 0.5316287  0.53257352 0.55591389]","[0.15035262 0.14365333 0.16209829 0.15578148 0.15944659 0.17292898
 0.17197577 0.15904859 0.21034633 0.23825016 0.24014207 0.26331175
 0.27248782 0.2916336  0.30011088 0.30494878 0.30685735 0.28037163
 0.30430365 0.30837063 0.29983033 0.29451296 0.29251107 0.28180658]",1
"[0.30684077 0.33963147 0.30506172 0.29692979 0.30560218 0.33590358
 0.35201132 0.51960794 0.52078164 0.52955518 0.57054409 0.56682401
 0.61263532 0.60640098 0.61312165 0.6109699  0.58316138 0.59377091
 0.61212905 0.60629401 0.55107819 0.53781856 0.56562901 0.57366351]","[0.30263781 0.32535387 0.31653823 0.28991916 0.29999365 0.32817727
 0.34398638 0.50920712 0.50963012 0.52365536 0.55847952 0.55483298
 0.58164858 0.59145612 0.59844883 0.60247639 0.57667035 0.57969589
 0.59339592 0.59673677 0.5316287  0.53257352 0.55591389 0.56164915]","[0.14365333 0.16209829 0.15578148 0.15944659 0.17292898 0.17197577
 0.15904859 0.21034633 0.23825016 0.24014207 0.26331175 0.27248782
 0.2916336  0.30011088 0.30494878 0.30685735 0.28037163 0.30430365
 0.30837063 0.29983033 0.29451296 0.29251107 0.28180658 0.27878433]",-1
"[0.33963147 0.30506172 0.29692979 0.30560218 0.33590358 0.35201132
 0.51960794 0.52078164 0.52955518 0.57054409 0.56682401 0.61263532
 0.60640098 0.61312165 0.6109699  0.58316138 0.59377091 0.61212905
 0.60629401 0.55107819 0.53781856 0.56562901 0.57366351 0.54350454]","[0.32535387 0.31653823 0.28991916 0.29999365 0.32817727 0.34398638
 0.50920712 0.50963012 0.52365536 0.55847952 0.55483298 0.58164858
 0.59145612 0.59844883 0.60247639 0.57667035 0.57969589 0.59339592
 0.59673677 0.5316287  0.53257352 0.55591389 0.56164915 0.53394017]","[0.16209829 0.15578148 0.15944659 0.17292898 0.17197577 0.15904859
 0.21034633 0.23825016 0.24014207 0.26331175 0.27248782 0.2916336
 0.30011088 0.30494878 0.30685735 0.28037163 0.30430365 0.30837063
 0.29983033 0.29451296 0.29251107 0.28180658 0.27878433 0.27196188]",-1
"[0.30506172 0.29692979 0.30560218 0.33590358 0.35201132 0.51960794
 0.52078164 0.52955518 0.57054409 0.56682401 0.61263532 0.60640098
 0.61312165 0.6109699  0.58316138 0.59377091 0.61212905 0.60629401
 0.55107819 0.53781856 0.56562901 0.57366351 0.54350454 0.54136981]","[0.31653823 0.28991916 0.29999365 0.32817727 0.34398638 0.50920712
 0.50963012 0.52365536 0.55847952 0.55483298 0.58164858 0.59145612
 0.59844883 0.60247639 0.57667035 0.57969589 0.59339592 0.59673677
 0.5316287  0.53257352 0.55591389 0.56164915 0.53394017 0.52874604]","[0.15578148 0.15944659 0.17292898 0.17197577 0.15904859 0.21034633
 0.23825016 0.24014207 0.26331175 0.27248782 0.2916336  0.30011088
 0.30494878 0.30685735 0.28037163 0.30430365 0.30837063 0.29983033
 0.29451296 0.29251107 0.28180658 0.27878433 0.27196188 0.26788275]",-1
"[0.29692979 0.30560218 0.33590358 0.35201132 0.51960794 0.52078164
 0.52955518 0.57054409 0.56682401 0.61263532 0.60640098 0.61312165
 0.6109699  0.58316138 0.59377091 0.61212905 0.60629401 0.55107819
 0.53781856 0.56562901 0.57366351 0.54350454 0.54136981 0.52318888]","[0.28991916 0.29999365 0.32817727 0.34398638 0.50920712 0.50963012
 0.52365536 0.55847952 0.55483298 0.58164858 0.59145612 0.59844883
 0.60247639 0.57667035 0.57969589 0.59339592 0.59673677 0.5316287
 0.53257352 0.55591389 0.56164915 0.53394017 0.52874604 0.5121424 ]","[0.15944659 0.17292898 0.17197577 0.15904859 0.21034633 0.23825016
 0.24014207 0.26331175 0.27248782 0.2916336  0.30011088 0.30494878
 0.30685735 0.28037163 0.30430365 0.30837063 0.29983033 0.29451296
 0.29251107 0.28180658 0.27878433 0.27196188 0.26788275 0.24903668]",1
"[0.30560218 0.33590358 0.35201132 0.51960794 0.52078164 0.52955518
 0.57054409 0.56682401 0.61263532 0.60640098 0.61312165 0.6109699
 0.58316138 0.59377091 0.61212905 0.60629401 0.55107819 0.53781856
 0.56562901 0.57366351 0.54350454 0.54136981 0.52318888 0.52424661]","[0.29999365 0.32817727 0.34398638 0.50920712 0.50963012 0.52365536
 0.55847952 0.55483298 0.58164858 0.59145612 0.59844883 0.60247639
 0.57667035 0.57969589 0.59339592 0.59673677 0.5316287  0.53257352
 0.55591389 0.56164915 0.53394017 0.52874604 0.5121424  0.51318313]","[0.17292898 0.17197577 0.15904859 0.21034633 0.23825016 0.24014207
 0.26331175 0.27248782 0.2916336  0.30011088 0.30494878 0.30685735
 0.28037163 0.30430365 0.30837063 0.29983033 0.29451296 0.29251107
 0.28180658 0.27878433 0.27196188 0.26788275 0.24903668 0.25341695]",1
